OBJECTID,state_number,nhs_rest_stop,highway_route,mile_post,municipality,county,state,latitude,longitude,number_of_spots,x,y
204,12,Plantation Key - Weight Station / Comfort Station,SR5/US1,86,,Monroe,FL,24.9546,-80.5813,4,-80.5813000003592,24.954600000186
205,12,Snapper Creek Service Plaza,HEFT,19,Miami,Maimi-Dade,FL,25.661735,-80.387353,30,-80.3873530001874,25.6617349998349
206,12,NHS Rest Stop or Truck Facility 27,I-75N,35,Weston,Broward,FL,26.1469,-80.6304,60,-80.6304000003776,26.1468999998139
207,12,,I-75S,63,Big Cypress,Collier,FL,26.1674,-81.0785,15,-81.0785000001578,26.1674000000973
208,12,NHS Rest Stop or Truck Facility 26,I-75N,63,Big Cypress,Collier,FL,26.169552,-81.077039,37,-81.0770389999427,26.1695520003359
209,12,Pompano Beach Service Plaza,Florida's Turnpike,65,Pompano,Broward,FL,26.226162,-80.18326,40,-80.1832599995988,26.2261619996244
210,12,NHS Rest Stop or Truck Facility 33,I-75N,131,Fort Myers,Lee,FL,26.5497,-81.7922,74,-81.792200000345,26.5496999996967
211,12,West Palm Beach Service Plaza,Florida's Turnpike,94,Lake Worth,Palm Beach,FL,26.634455,-80.174779,26,-80.1747789996115,26.6344550002356
212,12,Weigh Station,I-75N,158,Punta Gorda,Charlotte,FL,26.879157,-81.985993,33,-81.9859929996327,26.879156999809
213,12,Weigh Station,I-75S,158,Punta Gorda,Charlotte,FL,26.8799,-81.985,33,-81.985000000121,26.8798999998709
214,12,NHS Rest Stop or Truck Facility 25,I-75S,161,Punta Gorda,Charlotte,FL,26.8933,-81.998,32,-81.9980000002978,26.893299999904
215,12,Weigh Station,I-95N,92,Hobe Sound,Martin,FL,27.0049,-80.2054,18,-80.2054000002621,27.0049000000662
216,12,NHS Rest Stop or Truck Facility 46,I-95S,106,Palm City,Martin,FL,27.1264,-80.341,82,-80.3409999997989,27.126399999615
217,12,NHS Rest Stop or Truck Facility 47,I-95N,106,Palm City,Martin,FL,27.1274,-80.333,60,-80.3330000000355,27.1274000000642
218,12,Weigh Station,I-95S,112,Palm City,Martin,FL,27.1891,-80.4008,34,-80.4008000002531,27.1891000000602
219,12,Port St. Lucie/Fort Pierce Service Plaza,Florida's Turnpike,144,Port St. Lucie,St. Lucie,FL,27.302214,-80.372992,50,-80.3729920002529,27.3022139998228
220,12,NHS Rest Stop or Truck Facility 48,I-95S,133,Fort Pierce,St. Lucie,FL,27.4647,-80.4215,43,-80.4214999997193,27.464699999763
221,12,NHS Rest Stop or Truck Facility 41,I-95N,133,Fort Pierce,St. Lucie,FL,27.4663,-80.4176,44,-80.4175999998459,27.4663000001642
222,12,NHS Rest Stop or Truck Facility 19,I-275N,7,Terra Ceia,Manatee,FL,27.5847,-82.6142,16,-82.614200000057,27.5846999998482
223,12,Fort Drum Service Plaza,Florida's Turnpike,184,Okeechobee,Okeechobee,FL,27.601403,-80.822712,50,-80.8227120002569,27.6014030003168
