FID,YEAR_,DISTRICT,COSITE,ROADWAY,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,TruckAADT,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,DESC_FRM,DESC_TO,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
1,2024,2,329101,32000005,300,C,F,F,F,F,56,0,1.837,9.5,0,56.4,18.8,2956.5801,BEGIN OF 32501000,CR-249,32,Hamilton,2,2956.58012293375
2,2024,1,174516,17000139,2200,S,F,F,F,2,317,0,0.988,9.5,0,54,14.4,1599.118,VERNA RD,MANATEE CO  LINE,17,Sarasota,1,1599.11796338691
3,2024,7,159242,15000427,1400,X,F,F,F,F,83,0,1.723,9,0,53.4,5.9,2774.8734,LAKEFRONT DR,TARPON LAKE BLVD,15,Pinellas,7,2774.87341304005
4,2024,7,159082,15000152,10500,R,F,F,W,F,620,0.322,1.36,9,0,99.9,5.9,1662.1367,4 AVE N,9 AVE S,15,Pinellas,7,1662.1366915003
5,2024,4,937013,93000006,16900,F,F,F,F,F,794,0,0.522,9,0,61.5,4.7,842.174,SR-706/INDIANTOWN RD,N/A,93,Palm Beach,4,842.174016741269
6,2024,2,349119,34518000,2600,R,F,F,F,F,52,0,4.542,9.5,0,55.5,2,7306.3827,CR-326/SE 197 CT,CR-322/E LEVY  ST,34,Levy,2,7306.38269267061
7,2024,3,485137,48000045,2300,C,F,F,W,F,106,1.898,2.373,9,0,99.9,4.6,767.2929,N 12TH AVE,SR-291,48,Escambia,3,767.292912567871
8,2024,7,159139,15000306,4300,X,F,F,F,F,254,0,1.246,9,0,53.4,5.9,1980.008,US-19,WHITNEY RD,15,Pinellas,7,1980.00795879951
9,2024,7,159075,15000137,2200,C,F,F,F,F,130,0,1.039,9,0,53.4,5.9,1665.1465,PASS-A-GRILLE WAY,21ST AVE,15,Pinellas,7,1665.14645932266
10,2024,5,778077,77510000,24500,C,F,F,F,F,1715,8.628,11.769,9,0,52.3,7,5022.795,N/A,LAKE MARY BLVD,77,Seminole,5,5022.79495374093
11,2024,2,309110,30580000,600,C,F,F,F,F,82,0,0.732,9.5,0,58.8,13.6,1176.4196,STEINHATCHEE RIVER,CR-358/SW 875 ST,30,Dixie,2,1176.41956869589
12,2024,1,174554,17000572,3500,S,F,F,F,2,417,0,6.157,9,0,54,11.9,9911.9235,TOLEDO BLADE BLVD,RAINTREE BLVD,17,Sarasota,1,9911.92348131865
13,2024,1,164217,16885000,12000,F,F,F,F,1,1452,0,2.3,9.5,0,56,12.1,3666.3162,COUNTY LINE RD,AIRFIELD CT.W,16,Polk,1,3666.31620577805
